run	status	exit_code	duration_seconds	accuracy	loss	json	log
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-44	PASS	0	219	0.9484375	0.2542394444346428	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-44.log
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-44	PASS	0	228	0.775	0.5660552889108658	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-44.log
main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-44	PASS	0	227	0.934375	0.31456311298534273	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-44.log
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-44	PASS	0	238	0.4953125	1.0595332950353622	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-44.log
main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-44	FAIL	1	247			/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-44.log
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-44	PASS	0	231	0.9546875	0.5916550347930751	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-44.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-44.log
main__homogeneous__vanilla__fedavg__noise-0.01__seed-45	PASS	0	206	0.959375	0.18579281428828837	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-45.log
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-45	PASS	0	218	0.934375	0.23323795944452286	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-45.log
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-45	PASS	0	216	0.95625	0.2713696072343737	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-45.log
main__homogeneous__vanilla__fedprox__noise-0.01__seed-45	PASS	0	230	0.5046875	0.9701113432645798	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-45.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-45.log
